Ser,locations,sites,Season,Date,Temperature oC,Conductivity µS/cm,Salinity %0,D.O mg/l,pH,Turbidity NTU,TSS mg/l,Ammonia µg/l,Nitrate  µg/l,Nitrite  µg/l,Phosphate  µg/l,Silicate  µg/l,Alkalinity as CaCO3 mg/l,Chlorophyl-? µg/l,Hydrocarbon µg/l,TOC mg/l,
15,Al Jarim,16,2,25-Apr-07,24.84," 64,080 ",43.34,5.55,8.00,0.35,3.50,1.23,18.46,0.38,0.50,20.90,132.70,0.60,0.73,,
16,Bartafi,19,2,25-Apr-07,25.44," 75,410 ",51.83,4.81,7.99,2.14,7.70,0.00,35.80,1.34,0.99,22.90,132.40,0.54,0.82,,
17,Khor fasht,17,2,25-Apr-07,24.99," 69,730 ",47.61,5.82,7.99,5.82,7.63,1.37,21.05,0.55,0.24,21.59,133.20,1.17,0.93,,
18,Marina Club,15,2,25-Apr-07,24.41," 68,420 ",46.59,5.89,7.93,0.94,6.70,0.00,19.00,1.32,3.03,24.21,130.80,1.42,0.97,,
19,Marwada,18,2,25-Apr-07,25.12," 70,680 ",48.31,5.53,7.99,2.72,6.93,2.96,24.06,0.71,0.00,19.87,128.40,0.41,1.71,,
20,Al Jasra,23,2,26-Apr-07,26.40," 79,250 ",54.83,8.09,7.73,1.09,4.90,5.71,14.74,1.02,0.00,44.43,135.70,0.04,0.83,,
21,Jazirat Ya’suf,22,2,26-Apr-07,24.89," 79,870 ",55.30,6.35,7.66,0.98,7.90,3.97,10.94,0.52,0.19,41.24,134.40,0.46,0.83,,
22,Qassar,20,2,26-Apr-07,25.35," 80,140 ",55.45,7.40,7.68,0.37,14.50,2.47,12.47,0.24,0.00,38.53,134.60,0.30,0.63,,
23,Umm Al nasa'an,21,2,26-Apr-07,24.25," 79,920 ",55.33,5.89,7.67,0.51,11.90,4.59,9.51,0.33,0.00,46.28,133.50,0.09,0.85,,
24,Askar,6,3,8-Jul-07,30.72," 66,100 ",44.82,5.93,7.85,3.77,6.13,3.77,5.18,2.31,4.06,23.20,138.36,2.43,1.52,,
25,Fasht Tighalib,4,3,8-Jul-07,31.56," 67,920 ",46.23,5.34,7.83,0.36,7.69,4.94,7.96,1.07,0.59,110.19,139.64,0.86,0.70,,
26,Ghumais,5,3,8-Jul-07,31.79," 67,590 ",46.01,5.26,7.84,0.43,3.40,3.90,3.31,1.10,1.04,89.17,136.04,0.48,2.46,,
27,Jabbari,3,3,8-Jul-07,31.30," 68,630 ",46.78,5.15,7.77,0.35,6.19,4.02,6.77,1.48,0.41,96.04,138.68,0.41,2.46,,
28,Mashtan,18,3,8-Jul-07,31.37," 70,150 ",47.90,5.52,7.74,0.42,13.40,2.94,4.26,1.98,0.53,112.81,142.68,0.93,4.68,,
29,Qassar Noon,1,3,8-Jul-07,31.39," 74,900 ",51.58,4.88,7.66,0.92,5.90,5.95,11.37,4.05,0.37,147.98,146.20,0.26,5.15,,
30,Al Gaha,9,3,9-Jul-07,31.44," 65,330 ",44.25,6.32,7.83,0.91,8.68,4.61,30.50,2.58,4.91,32.86,143.12,0.47,3.16,,
31,Al Gazara,12,3,9-Jul-07,32.05," 64,870 ",43.92,5.29,7.87,0.37,5.50,1.87,6.89,0.61,0.55,49.29,141.92,0.55,0.47,,
32,Bapco,8,3,9-Jul-07,31.15," 65,710 ",44.52,5.14,7.83,1.23,3.50,15.77,21.74,3.05,2.93,49.35,142.56,1.90,3.51,,
33,Dam,13,3,9-Jul-07,31.98," 64,600 ",43.70,5.22,7.87,0.49,2.70,1.12,7.26,1.28,2.35,48.69,144.00,0.71,0.70,,
34,Fa'ash,11,3,9-Jul-07,31.88," 64,680 ",43.79,5.30,7.86,0.36,23.50,7.34,3.26,1.21,1.17,35.67,142.28,0.60,3.63,,
35,Msoor,7,3,9-Jul-07,30.95," 66,140 ",44.89,5.72,7.78,0.49,2.80,5.96,4.15,0.28,1.25,34.75,135.04,0.46,0.94,,
36,Qita’at Jaradah,14,3,9-Jul-07,32.05," 64,640 ",43.76,5.52,7.89,0.43,4.40,1.46,5.47,1.46,1.24,37.16,144.08,0.35,0.82,,
37,Suhain,10,3,9-Jul-07,31.50," 65,170 ",44.14,4.63,7.79,1.52,10.20,3.84,14.42,1.79,3.24,33.77,143.04,0.85,3.04,,
38,Al Jarim,16,3,10-Jul-07,32.10," 63,200 ",42.66,5.40,7.85,0.65,3.00,3.25,5.95,0.75,0.92,38.02,143.24,0.73,0.47,,
39,Bartafi,19,3,10-Jul-07,31.87," 72,660 ",49.86,4.64,7.77,1.21,12.70,8.09,48.35,2.33,1.70,37.00,141.52,1.70,0.94,,
40,Khor fasht,17,3,10-Jul-07,31.76," 67,220 ",45.72,5.28,7.83,1.52,3.40,4.86,40.75,1.62,2.24,98.07,140.72,0.70,1.40,,
41,Marina Club,15,3,10-Jul-07,30.62," 66,830 ",45.43,4.88,7.82,0.82,3.70,29.19,8.89,0.85,5.72,15.35,139.40,1.29,1.52,,
42,Marwada,18,3,10-Jul-07,31.89," 68,700 ",46.81,5.55,7.84,2.35,15.50,3.34,18.68,1.23,1.54,23.27,141.00,0.82,1.29,,
43,Al Jasra,23,3,11-Jul-07,32.69," 77,480 ",53.46,5.08,7.81,1.82,6.00,6.84,9.08,2.65,0.38,117.46,143.64,0.27,1.05,,
44,Jazirat Ya’suf,22,3,11-Jul-07,32.04," 79,640 ",55.12,5.07,7.80,1.10,16.30,7.67,6.29,1.46,0.00,122.71,147.80,0.05,5.27,,
45,Qassar,20,3,11-Jul-07,32.06," 79,880 ",55.35,4.86,7.71,0.72,3.50,7.17,5.97,0.66,0.64,130.42,147.40,0.42,2.34,,
46,Umm Al nasa'an,21,3,11-Jul-07,31.73," 80,030 ",55.41,5.12,7.79,0.93,11.20,6.05,2.65,0.57,0.45,153.73,144.20,0.41,4.10,,
47,Askar,6,4,29-Oct-07,29.79," 65,500 ",44.55,5.25,8.03,1.82,0.09,9.10,9.08,2.40,2.70,83.48,138.20,0.56,0.42,,
48,Bapco,8,4,29-Oct-07,29.99," 65,570 ",44.45,4.28,7.98,1.79,0.09,10.09,27.26,2.87,2.80,38.16,141.00,0.52,0.41,,
49,Fasht Tighalib,4,4,29-Oct-07,29.50," 66,650 ",45.25,4.69,7.96,0.45,5.80,6.30,12.56,3.75,0.85,90.46,140.00,0.21,0.22,,
50,Ghumais,5,4,29-Oct-07,29.32," 66,480 ",45.16,4.54,7.94,0.86,8.60,6.18,17.32,2.58,0.64,50.18,139.30,0.22,0.23,,
51,Jabbari,3,4,29-Oct-07,29.46," 67,300 ",45.69,4.03,7.89,2.26,6.80,5.72,20.84,3.03,1.10,107.71,144.10,0.42,0.43,,
52,Marina Club,15,4,29-Oct-07,29.51," 66,100 ",44.89,4.90,7.99,0.65,0.09,6.81,1.88,1.28,3.53,33.05,138.60,1.01,0.69,,
53,Msoor,7,4,29-Oct-07,29.53," 65,340 ",44.26,3.92,7.96,7.96,0.09,7.31,20.66,1.30,1.57,52.73,141.00,0.40,0.23,,
54,Qassar Noon,1,4,29-Oct-07,29.32," 68,740 ",46.84,4.22,7.91,1.03,5.80,7.06,21.09,5.21,0.68,114.29,144.10,0.47,0.62,,
55,Al Gaha,9,4,30-Oct-07,30.03," 65,300 ",44.26,7.02,8.05,1.22,4.10,1.75,9.49,0.73,1.93,29.93,143.50,0.00,0.23,,
56,Al Gazara,12,4,30-Oct-07,29.95," 65,130 ",44.11,6.30,8.05,0.20,3.52,1.23,2.90,0.00,0.31,21.95,150.00,0.00,0.23,,
57,Dam,13,4,30-Oct-07,30.09," 65,390 ",44.32,6.41,8.02,0.23,11.00,2.85,7.83,0.32,0.30,28.92,148.40,0.00,0.41,,
58,Fa'ash,11,4,30-Oct-07,30.00," 65,410 ",44.32,6.02,8.02,0.32,2.80,3.47,22.31,0.79,2.00,28.07,141.30,0.00,0.24,,
59,Qita’at Jaradah,14,4,30-Oct-07,30.09," 65,440 ",44.32,6.02,8.01,0.32,1.50,1.25,5.61,0.06,0.50,29.15,145.20,0.17,0.41,,
60,Suhain,10,4,30-Oct-07,30.27," 65,310 ",44.26,7.04,8.07,1.97,4.60,2.88,9.75,1.87,3.20,31.99,139.60,0.00,0.22,,
61,Al Jarim,16,4,31-Oct-07,29.20," 64,330 ",43.50,6.06,7.97,0.35,2.70,3.93,8.63,0.43,1.74,31.61,142.80,0.33,0.22,,
62,Bartafi,19,4,31-Oct-07,29.00," 71,130 ",48.65,5.77,7.91,0.79,5.60,3.79,25.99,1.78,1.68,24.52,141.70,0.50,0.35,,
63,Khor fasht,17,4,31-Oct-07,29.00," 67,860 ",46.20,5.87,7.92,1.08,3.00,3.90,28.75,1.46,1.82,27.14,142.40,0.46,0.21,,
64,Marwada,18,4,31-Oct-07,29.02," 68,500 ",46.65,5.92,7.93,1.03,13.90,4.23,24.99,1.49,1.38,26.54,141.70,0.75,0.23,,
65,Al Jasra,23,4,1-Nov-07,28.79," 77,010 ",53.11,6.28,7.88,1.43,9.30,5.13,17.29,1.53,0.68,50.31,138.00,0.53,0.41,,
66,Jazirat Ya’suf,22,4,1-Nov-07,28.94," 79,910 ",55.34,5.64,7.89,0.73,5.40,5.65,3.17,1.03,0.05,54.00,151.80,1.32,0.41,,
67,Qassar,20,4,1-Nov-07,29.29," 80,700 ",55.99,5.92,7.90,0.50,8.50,3.77,5.19,0.00,0.86,67.59,148.00,0.29,0.42,,
68,Umm Al nasa'an,21,4,1-Nov-07,29.25," 80,810 ",56.02,5.80,7.89,1.17,7.80,4.04,5.32,0.00,0.56,72.59,145.50,0.52,0.68,,
69,Al Gaha,9,1,6-Jan-08,18.57," 65,310 ",44.27,6.75,8.16,0.99,7.40,6.333,15.088,0.709,4.802,22.858,128.76,0.376,0.826,,
70,Askar,6,1,6-Jan-08,18.86," 65,690 ",44.75,6.97,8.23,4.70,2.65,10.623,17.331,2.300,3.812,39.686,131.24,0.608,0.848,,
71,Bapco,8,1,6-Jan-08,19.05," 65,510 ",44.40,6.86,8.20,0.84,3.50,9.028,14.462,1.664,5.340,28.185,127.04,0.490,0.847,,
72,Fasht Tighalib,4,1,6-Jan-08,18.04," 66,530 ",45.15,6.65,8.16,2.77,4.81,3.155,6.602,0.006,1.566,15.054,125.16,1.082,0.664,,
73,Ghumais,5,1,6-Jan-08,18.04," 66,400 ",45.07,6.67,8.16,4.62,3.73,2.484,3.040,0.009,0.759,21.642,122.04,0.245,0.700,,
74,Jabbari,3,1,6-Jan-08,17.90," 66,860 ",45.41,5.58,8.09,3.40,2.32,3.370,0.212,0.615,0.294,15.322,120.80,0.408,1.095,,
75,Mashtan,2,1,6-Jan-08,18.22," 68,950 ",47.00,6.09,8.17,1.35,3.12,3.224,2.782,0.170,0.141,12.858,123.48,0.121,0.845,,
76,Msoor,7,1,6-Jan-08,18.30," 66,210 ",44.91,6.85,8.17,8.42,1.73,4.016,8.342,1.736,2.097,28.783,129.04,0.501,0.893,,
77,Qassar Noon,1,1,6-Jan-08,17.86," 69,650 ",47.52,5.85,8.11,6.26,2.16,3.438,14.001,1.822,1.526,14.861,122.76,0.075,1.256,,
78,Al Gazara,12,1,8-Jan-08,17.14," 64,950 ",43.99,7.08,8.17,1.86,8.00,3.329,7.218,0.016,1.756,16.828,125.28,0.777,0.453,,
79,Dam,13,1,8-Jan-08,16.95," 65,040 ",44.02,6.80,8.15,2.15,8.36,1.523,13.149,0.652,3.677,19.028,128.48,0.401,0.660,,
80,Fa'ash,11,1,8-Jan-08,16.81," 65,090 ",44.05,6.95,8.18,0.50,4.60,0.799,13.629,0.520,2.687,24.947,124.32,0.307,0.361,,
81,Marina Club,15,1,8-Jan-08,15.57," 67,410 ",45.85,6.95,8.15,1.59,4.10,4.772,16.110,0.731,6.851,44.005,128.00,0.686,0.462,,
82,Qita’at Jaradah,14,1,8-Jan-08,16.61," 64,780 ",43.85,7.07,8.12,3.08,4.70,1.945,8.448,0.203,1.907,24.097,125.32,0.075,0.830,,
83,Suhain,10,1,8-Jan-08,16.12," 65,390 ",44.32,7.19,8.18,0.78,4.10,1.264,11.854,0.264,6.946,21.351,124.36,0.845,0.449,,
84,Al Jarim,16,1,9-Jan-08,15.38," 63,670 ",43.02,7.17,8.15,1.62,4.30,8.639,11.502,0.286,2.021,17.215,127.84,0.387,0.347,,
85,Bartafi,19,1,9-Jan-08,15.37," 68,130 ",46.40,7.35,8.17,1.74,12.90,4.381,19.683,0.659,0.943,6.094,136.72,0.736,0.415,,
86,Khor fasht,17,1,9-Jan-08,15.63," 66,220 ",44.90,7.22,8.18,2.82,12.40,8.592,19.228,0.722,1.203,12.743,130.04,0.483,0.208,,
87,Marwada,18,1,9-Jan-08,15.71," 65,610 ",44.50,7.49,8.18,2.57,22.89,7.457,16.093,0.849,1.790,14.998,132.08,0.477,0.583,,
88,Al Jasra,23,1,10-Jan-08,13.32," 73,880 ",50.71,7.12,8.06,0.64,10.10,7.679,21.227,2.409,0.890,48.847,137.56,0.326,0.533,,
89,Jazirat Ya’suf,22,1,10-Jan-08,14.87," 77,210 ",53.25,6.64,8.04,1.22,4.10,6.031,6.273,1.428,1.456,14.795,137.76,0.350,0.619,,
90,Umm Al na'asan,21,1,10-Jan-08,15.04," 79,410 ",55.39,6.54,8.05,0.51,6.20,5.571,0.345,5.681,1.245,23.949,136.60,0.345,0.578,,
91,Al Gaha,9,2,20-Apr-08,24.38," 65,670 ",44.51,4.65,8.08,2.10,5.10,6.514,24.000,0.672,5.575,8.544,122.68,0.182,0.442,,
92,Bapco,8,2,20-Apr-08,24.75," 66,060 ",44.83,4.80,8.11,5.09,15.30,14.208,34.100,2.383,11.344,35.668,124.08,0.949,1.167,,
93,Dam,13,2,20-Apr-08,24.51," 65,390 ",44.30,4.92,8.14,1.39,9.90,4.347,8.800,0.043,7.851,23.325,122.60,0.245,0.589,,
94,Fa'ash,11,2,20-Apr-08,24.47," 65,360 ",44.27,4.58,8.11,0.94,10.80,4.986,22.000,0.847,9.015,288.027,125.84,0.387,0.570,,
95,Marina Club,15,2,20-Apr-08,25.17," 67,190 ",45.65,4.69,8.03,1.62,4.50,8.758,14.600,0.511,5.980,12.446,124.92,0.403,0.453,,
96,Qita’at Jaradah,14,2,20-Apr-08,24.28," 65,440 ",44.37,4.04,7.99,1.14,10.90,3.073,16.100,0.029,5.986,37.708,129.00,0.286,0.459,,
97,Suhain,10,2,20-Apr-08,25.65," 65,530 ",44.41,5.75,8.14,1.04,8.20,4.587,15.300,0.977,13.238,153.534,119.00,0.243,0.476,,
98,Askar,6,2,21-Apr-08,25.66," 66,140 ",44.87,5.33,8.15,5.35,13.90,4.389,4.400,1.496,2.534,32.430,125.56,0.262,0.413,,
99,Fasht Tighalib,4,2,21-Apr-08,25.25," 66,950 ",45.50,5.03,8.10,1.67,5.50,2.646,12.300,0.316,0.770,68.108,122.64,0.501,0.420,,
100,Ghumais,5,2,21-Apr-08,24.91," 66,440 ",45.09,5.38,8.12,2.44,10.50,2.747,2.000,0.983,0.429,53.065,121.36,0.315,0.424,,
101,Jabbari,3,2,21-Apr-08,25.12," 67,780 ",46.11,5.12,8.01,2.03,4.80,11.115,2.100,0.330,0.976,27.936,123.64,0.408,0.464,,
102,Mashtan,2,2,21-Apr-08,25.01," 67,820 ",46.15,5.57,8.14,1.12,1.80,4.274,4.300,0.487,0.095,210.931,120.00,0.525,0.420,,
103,Msoor,7,2,21-Apr-08,25.10," 65,690 ",44.56,5.20,8.13,3.50,7.10,3.163,2.300,0.946,1.858,154.798,118.40,0.556,0.411,,
104,Qassar Noon,1,2,21-Apr-08,24.95," 70,380 ",48.08,4.81,8.10,1.77,7.79,4.209,1.500,0.771,0.065,74.881,126.16,0.257,0.476,,
105,Al Jarim,16,2,22-Apr-08,24.24," 64,090 ",43.35,6.44,8.15,1.18,3.10,6.395,18.100,0.024,1.454,24.338,119.64,0.456,0.609,,
106,Bartafi,19,2,22-Apr-08,24.63," 70,590 ",48.26,5.43,8.15,2.13,7.30,7.056,34.800,0.123,1.283,13.377,123.36,0.389,0.417,,
107,Khor fasht,17,2,22-Apr-08,24.47," 68,690 ",46.79,5.71,8.18,2.21,3.70,6.525,23.700,0.191,0.510,37.991,123.44,0.330,0.441,,
108,Marwada,18,2,22-Apr-08,24.90," 68,960 ",47.02,5.81,8.20,1.83,4.70,7.250,20.200,0.000,0.522,33.017,127.16,0.239,0.446,,
109,Al Jasra,23,2,23-Apr-08,25.34," 77,710 ",53.72,5.60,8.12,1.61,3.80,5.769,29.600,1.484,1.106,43.162,126.56,0.262,0.365,,
110,Jazirat Ya’suf,22,2,23-Apr-08,24.78," 79,260 ",54.86,5.50,8.13,0.95,4.20,3.935,27.700,0.777,0.000,44.253,122.52,0.339,0.434,,
111,Qassar,20,2,23-Apr-08,24.49," 80,290 ",55.64,5.57,8.00,0.59,6.00,2.568,30.500,0.270,0.000,40.932,123.88,0.187,0.411,,
112,Umm Al na'asan,21,2,23-Apr-08,23.97," 80,220 ",55.54,5.61,8.10,0.61,6.50,2.326,67.700,0.330,0.000,51.645,126.16,0.218,0.335,,
113,Al Gazara,12,3,6-Jul-08,31.84," 63,172 ",42.95,4.35,8.06,0.19,3.10,7.590,10.200,0.880,0.283,32.670,124.36,0.248,0.457,,
114,Dam,13,3,6-Jul-08,31.55," 63,811 ",43.14,4.47,8.01,0.43,3.30,14.010,13.030,1.080,0.486,32.550,121.32,0.293,0.722,,
115,Fa'ash,11,3,6-Jul-08,31.98," 64,105 ",43.39,4.66,8.06,0.48,4.53,11.210,10.100,1.280,1.670,35.080,121.88,0.311,0.476,,
116,Qita’at Jaradah,14,3,6-Jul-08,31.73," 63,047 ",42.56,4.52,8.12,0.42,5.50,7.044,21.120,1.170,0.264,24.210,119.88,0.146,0.546,,
117,Suhain,10,3,6-Jul-08,32.13," 64,710 ",43.79,6.04,8.06,0.75,3.50,14.240,12.480,1.700,2.760,29.940,119.80,1.015,0.508,,
118,Al Gaha,9,3,7-Jul-08,31.90," 64,770 ",43.78,5.59,8.00,0.91,4.30,10.500,11.460,0.540,1.730,32.925,121.20,0.116,0.424,,
119,Askar,6,3,7-Jul-08,31.00," 65,250 ",44.19,5.49,8.15,2.48,12.06,7.400,11.360,0.230,2.280,22.514,120.76,0.713,0.420,,
120,Bapco,8,3,7-Jul-08,31.31," 65,340 ",44.27,5.02,8.00,5.18,10.90,8.210,17.560,2.740,3.700,24.555,121.60,0.839,0.526,,
121,Fasht Tighalib,4,3,7-Jul-08,32.07," 67,030 ",45.55,4.96,8.03,0.85,9.09,6.230,4.400,2.220,2.530,68.850,121.16,0.608,0.471,,
122,Ghumais,5,3,7-Jul-08,31.94," 66,800 ",45.34,5.09,8.05,0.47,11.40,7.880,1.320,1.780,0.000,74.830,116.80,0.375,0.428,,
123,Jabbari,3,3,7-Jul-08,31.71," 67,290 ",48.74,4.78,8.11,0.51,4.90,6.450,8.880,0.930,2.760,86.980,119.52,0.221,0.569,,
124,Mashtan,2,3,7-Jul-08,32.05," 68,125 ",46.37,4.94,8.02,0.91,4.40,4.710,7.150,0.250,0.610,78.990,120.00,0.272,0.595,,
125,Msoor,7,3,7-Jul-08,30.87," 64,910 ",43.94,5.33,8.06,0.87,5.30,9.020,5.560,1.390,1.300,34.200,119.08,0.235,0.444,,
126,Qassar Noon,1,3,7-Jul-08,31.97," 70,790 ",48.40,4.51,7.86,0.73,4.60,2.320,13.840,1.410,0.770,102.670,120.16,0.324,0.578,,
127,Al Jarim,16,3,8-Jul-08,31.84," 63,680 ",43.01,5.13,8.48,0.45,2.40,8.640,3.160,0.480,0.085,34.766,120.56,0.058,0.217,,
128,Bartafi,19,3,8-Jul-08,32.05," 70,900 ",48.48,4.67,8.47,1.40,6.20,9.750,37.860,2.110,0.370,33.939,119.36,0.000,0.417,,
129,Khor fasht,17,3,8-Jul-08,32.03," 68,100 ",46.31,4.90,8.54,4.47,6.40,10.320,29.900,2.120,1.100,51.205,119.44,0.116,0.420,,
130,Marina Club,15,3,8-Jul-08,31.80," 67,738 ",46.04,5.15,8.51,1.28,6.20,12.020,3.940,1.780,1.850,42.698,119.40,0.535,0.422,,
131,Marwada,18,3,8-Jul-08,32.09," 68,321 ",46.49,5.01,8.40,3.34,5.30,10.850,19.260,1.390,0.560,34.839,118.72,0.163,0.415,,
132,Al Jasra,23,3,9-Jul-08,31.98," 76,740 ",53.00,5.25,8.42,1.25,4.00,10.320,7.810,0.290,0.499,40.721,120.88,0.000,0.442,,
133,Jazirat Ya’suf,22,3,9-Jul-08,31.24," 80,030 ",55.42,4.52,8.38,1.15,6.60,10.770,11.230,0.610,0.090,103.900,121.72,0.000,0.332,,
134,Qassar,20,3,9-Jul-08,31.90," 80,791 ",56.03,5.04,8.54,0.83,5.20,10.770,8.200,0.995,0.162,110.349,125.76,0.157,0.440,,
135,Umm Al na'asan,21,3,9-Jul-08,30.99," 80,210 ",55.59,4.50,8.31,0.88,5.00,9.490,9.850,1.070,0.444,159.061,123.48,0.070,0.231,,
136,Al Gaha,9,4,25-Oct-08,29.61," 65,290 ",45.32,4.63,7.62,3.92,6.97,10.454,133.770,3.466,4.202,59.006,119.72,0.637,0.461,,
137,Al Gazara,12,4,25-Oct-08,29.55," 64,800 ",43.84,5.19,7.68,0.43,2.63,6.780,30.630,1.316,1.854,64.685,120.84,0.308,0.229,,
138,Dam,13,4,25-Oct-08,29.60," 64,780 ",43.86,5.31,7.68,2.51,2.55,6.647,24.870,1.043,1.190,57.098,120.48,0.690,0.481,,
139,Fa'ash,11,4,25-Oct-08,29.57," 65,110 ",44.10,4.55,7.66,1.21,4.30,4.901,150.040,1.918,4.510,66.873,118.20,0.308,0.420,,
140,Marina Club,15,4,25-Oct-08,29.52," 66,230 ",44.96,5.05,7.79,2.53,4.02,9.557,41.900,2.109,3.959,56.056,117.92,2.630,0.507,,
141,Qita’at Jaradah,14,4,25-Oct-08,29.46," 65,350 ",44.30,5.88,7.58,1.22,11.60,3.644,38.000,3.291,1.543,38.691,120.88,0.308,0.467,,
142,Suhain,10,4,25-Oct-08,29.69," 65,360 ",44.27,4.82,7.64,2.73,4.50,6.841,158.750,2.853,7.071,62.497,118.56,0.617,0.467,,
143,Askar,6,4,27-Oct-08,30.32," 65,650 ",44.50,3.71,7.72,2.79,12.00,24.127,120.440,6.304,7.209,91.770,118.48,0.330,0.837,,
144,Bapco,8,4,27-Oct-08,30.19," 65,660 ",44.48,3.32,7.72,3.52,13.40,33.580,220.190,6.332,2.505,106.584,117.96,0.403,1.726,,
145,Fasht Tighalib,4,4,27-Oct-08,29.39," 67,490 ",45.92,4.15,7.68,1.32,3.17,14.406,129.460,3.807,0.695,90.088,120.08,0.212,0.473,,
146,Ghumais,5,4,27-Oct-08,29.88," 67,200 ",45.65,3.41,7.69,4.16,3.21,23.404,106.220,3.160,0.638,67.185,111.04,0.212,0.325,,
147,Jabbari,3,4,27-Oct-08,29.21," 66,920 ",45.53,6.18,7.93,1.28,2.76,10.021,52.220,1.477,0.300,72.587,120.00,1.671,0.507,,
148,Mashtan,2,4,27-Oct-08,29.29," 68,110 ",46.35,5.22,7.75,3.88,2.83,9.989,38.840,1.199,0.120,77.498,118.24,0.575,0.318,,
149,Msoor,7,4,27-Oct-08,30.11," 65,340 ",44.24,3.52,7.76,2.32,4.22,21.280,52.750,2.184,1.154,52.835,115.12,0.784,0.318,,
150,Qassar Noon,1,4,27-Oct-08,29.56," 69,990 ",47.75,5.55,7.64,4.15,9.60,15.061,120.190,4.390,0.184,103.870,119.80,0.212,0.458,,
151,Al Jarim,16,4,28-Oct-08,29.17," 52,000 ",47.00,5.06,8.53,2.32,2.50,0.289,10.990,0.770,0.677,34.692,118.44,1.020,0.429,,
152,Bartafi,19,4,28-Oct-08,29.22," 67,000 ",43.30,4.48,8.29,2.82,7.60,6.042,32.930,0.932,1.025,53.915,119.52,1.520,0.617,,
153,Khor fasht,17,4,28-Oct-08,29.23," 54,000 ",46.80,4.36,8.65,1.62,4.20,8.290,13.700,0.580,0.668,58.584,124.84,1.910,0.540,,
154,Marwada,18,4,28-Oct-08,29.32," 54,000 ",46.00,5.02,8.84,4.44,3.20,2.204,12.320,0.888,0.916,54.929,115.28,0.850,0.653,,
155,Al Jasra,23,4,29-Oct-08,28.53," 71,900 ",49.30,4.81,7.85,3.05,4.95,9.181,14.080,3.003,0.794,68.653,118.76,0.308,0.220,,
156,Jazirat Ya’suf,22,4,29-Oct-08,29.16," 73,100 ",50.20,5.06,7.86,4.12,4.50,7.392,10.340,0.828,0.000,58.004,126.72,0.262,0.229,,
157,Qassar,20,4,29-Oct-08,29.27," 76,600 ",52.80,5.23,7.78,1.08,2.50,3.547,8.580,2.993,0.000,41.485,122.72,0.218,0.467,,
158,Umm Al na'asan,21,4,29-Oct-08,29.29," 73,300 ",50.20,4.74,7.85,1.56,5.05,5.213,9.540,1.485,0.001,38.207,121.84,0.339,0.241,,
159,Al Gaha,9,1,18-Jan-09,16.23," 61,000 ",41.00,7.50,7.74,2.68,2.76,3.251,43.700,0.868,3.420,18.267,122.36,0.117,1.246,,
